,area_shp
0,5.729807572419369e-05
1,9.694799897798075e-05
2,9.482009004815244e-05
3,7.423323663505666e-05
4,3.4465003230883175e-05
5,6.060342890298689e-05
6,3.0207040097145453e-05
7,0.00017617925212321157
8,0.00011016940696546542
9,3.297673788688969e-05
10,4.0186754187707516e-05
11,0.00015431743104852885
12,4.481914127918979e-05
13,0.00010861452316485021
14,5.906550217335272e-05
15,3.079803912352427e-05
16,4.7541674642064176e-05
17,5.473682956621868e-05
18,6.352347440624864e-05
19,1.573329328104847e-05
20,6.26526993768195e-05
21,0.00011903475607539772
22,5.161485927170986e-05
23,4.989668858437768e-05
24,0.00017373323795859578
25,6.533831802323199e-05
26,0.0001253106182018763
27,3.5863285159952284e-05
28,5.8883539480115696e-05
29,2.2898180691787748e-05
30,7.200500816759331e-05
31,5.835319770476838e-05
32,0.00016582410268891693
33,4.843762778355439e-05
34,2.499823871370476e-05
35,6.308519572811663e-05
36,0.00012677541060869318
37,0.00015558216746824628
38,2.7135364593312064e-05
39,1.4429761328250414e-05
40,9.993216345101624e-05
41,2.142916423260981e-05
42,5.9800011663461006e-05
43,3.52758321269374e-05
44,3.1904888625532274e-05
45,3.384601906730107e-05
46,7.643502516118597e-05
47,7.245730234125841e-05
48,9.667603513881812e-05
49,0.00014908808027536908
50,4.538519981755685e-05
51,0.00011194348069505003
52,3.329284171983898e-05
53,1.4005652671254914e-05
54,0.00010865173279362052
55,3.1435729921377795e-05
56,0.00013825892905518024
57,2.0682970114819524e-05
58,2.609232037710401e-05
59,2.1833751135692696e-05
60,7.648244862522774e-05
61,0.00016854645537281202
62,0.0001372226046036938
63,8.860938500990332e-05
64,5.8291868788741735e-05
65,2.182942049769865e-05
66,0.0001531541982105218
67,3.1783182623722565e-05
68,4.259316127058753e-05
69,4.3361143154493034e-05
70,1.766711145774565e-05
71,9.459728187174779e-05
72,7.42054770372637e-05
73,0.00011622380551400323
74,0.00011343082821258586
75,0.00011845893910915396
76,5.4592419348742134e-05
77,8.509872407974005e-05
78,0.0001004157260102719
79,0.0001580326439472598
80,2.3927677578725478e-05
81,0.0001917033956780027
82,6.66550168832171e-05
83,0.00014381370353790218
84,2.5849032746662572e-05
85,2.302126793000906e-05
86,1.5619772052274485e-05
87,4.634051154637808e-05
88,4.726728795051486e-05
89,3.855032707167e-05
90,9.806251006537351e-05
91,0.00016008825460907952
92,5.960326194802835e-05
93,2.986219944206785e-05
94,2.854595064610503e-05
95,4.3061151068389975e-05
96,0.00016405198146381866
97,2.8373608828331592e-05
98,1.4365247295343471e-05
99,0.00010189610488415796
100,2.767219855116469e-05
101,2.8334614739816536e-05
102,9.648902736644882e-05
103,3.937407238799549e-05
104,3.435638656632458e-05
105,3.833331713419781e-05
106,1.9837172736148312e-05
107,3.810695245631014e-05
108,4.5784786018915185e-05
109,5.19287841822455e-05
110,0.00017385777803198964
111,1.641816284010519e-05
112,4.2108118865923923e-05
113,2.111608367351823e-05
114,0.00011108373553470584
115,2.6734877830731575e-05
116,3.5963607359987635e-05
117,2.2342611213143588e-05
118,0.00017051449901274446
119,0.0001088380160259181
120,0.00010642349230747144
121,0.00010810277385622113
122,5.647937241479724e-05
123,6.011328732156481e-05
124,1.8020398704143675e-05
125,5.5264640627128146e-05
126,0.00013922394257739708
127,3.38070340380913e-05
128,0.0001276196793912327
129,0.00017064246303154473
130,1.4705816144891802e-05
131,5.546109395463127e-05
132,2.6674216224089e-05
133,7.114351373882159e-05
134,3.3859962186896614e-05
135,6.343240529000448e-05
136,6.236696710818246e-05
137,4.9610053173570135e-05
138,3.351520703202235e-05
139,0.00015644424940167297
140,6.681117468358899e-05
141,4.757061120684896e-05
142,2.3795263955195393e-05
143,0.00015413933837050013
144,2.4935814987953105e-05
145,7.518447572056668e-05
146,0.00012022483061152541
147,6.760840179225328e-05
148,8.529696317009497e-05
149,8.062386204233418e-05
150,1.8626184498930152e-05
151,5.04683038922429e-05
152,3.055907273059144e-05
153,2.0179449907390275e-05
154,2.050701444794159e-05
155,6.209839601853146e-05
156,0.0001226957039844832
157,0.00013432471231924998
158,0.00017630819743795582
159,5.4062243437971867e-05
160,4.08611124721485e-05
161,0.00018176955967779234
162,0.00013460837774814937
163,3.493493938662485e-05
164,4.2048866525736244e-05
165,0.0001082255993532945
166,0.00012598676906396965
167,9.069275121907305e-05
168,6.668724298168919e-05
169,0.00019502169188964264
170,4.133705520181826e-05
171,8.62419193254743e-05
172,5.444337227533561e-05
173,4.506212937661572e-05
174,8.880603934645379e-05
175,9.222709205527154e-05
176,3.3352856675301046e-05
177,0.00012759068037312843
178,0.00011835876004502711
179,0.00013274798740320665
180,6.902001058874967e-05
181,0.00013583733842111248
182,0.00013693797925064152
183,5.751295951646181e-05
184,6.01245353549501e-05
185,9.399661841785955e-05
186,7.837901265249689e-05
187,9.557344926365334e-05
188,4.016169034625583e-05
189,0.00013306389999328597
190,0.00013173399801517265
191,4.272112534233923e-05
192,2.7291091098203762e-05
193,4.6337447442667865e-05
194,2.290938680409642e-05
195,2.5486488595171537e-05
196,0.00011554930852508035
197,1.2674038812894828e-05
198,0.00011922064553880398
199,9.12349216327935e-05
200,2.509329540786441e-05
201,1.5168681765551495e-05
202,2.5533946697350098e-05
203,4.928531210957609e-05
204,3.485903678234686e-05
205,0.00017641833736922185
206,0.0001079963916259647
207,0.000117739099705385
208,3.3956745099099076e-05
209,0.00013781138090963987
210,2.7194643562560547e-05
211,5.5981065565132796e-05
212,0.0001016434493927222
213,5.291494149328873e-05
214,0.00010651929855532421
215,5.5510354508205285e-05
216,4.698485126191527e-05
217,6.521871217711818e-05
218,1.4470355827808569e-05
219,3.895893920392525e-05
220,0.0001363940475455203
221,5.7482229203297024e-05
222,9.446804629964227e-05
223,6.972999430480693e-05
224,9.906643771363276e-05
225,9.244326934292463e-05
226,1.8112670924684718e-05
227,3.546666580877721e-05
228,0.00015275011338323122
229,9.993178355008722e-05
230,5.4387438701829014e-05
231,0.00012603718151062357
232,0.00014830718829614097
233,0.00013749999552825653
234,2.6589626038572472e-05
235,9.152286518918066e-05
236,0.00011835602932171844
237,6.726235762157974e-05
238,0.00013365485145176768
239,2.860836583448611e-05
240,3.490705355598206e-05
241,4.01527657712767e-05
242,1.93801007730758e-05
243,8.23034442144727e-05
244,3.064105565274674e-05
245,0.00017316454240132203
246,2.350848912301608e-05
247,9.160704509900827e-05
248,1.961670248166746e-05
249,7.085636761574153e-05
250,1.367633764616067e-05
251,1.6981775569980666e-05
252,6.874861499152742e-05
253,3.0967101309137535e-05
254,3.582899513079861e-05
255,8.478394690316953e-05
256,3.129020184125522e-05
257,2.7207105772358736e-05
258,0.00017700868444426646
259,4.549141708428686e-05
260,2.796956365828953e-05
261,2.4785014833777917e-05
262,3.482966877077142e-05
263,0.00012060296944301269
264,7.653403311530098e-05
265,3.7062595022466695e-05
266,3.2723169467371605e-05
267,2.438411833432267e-05
268,0.00010310096004245936
269,2.6051664974042324e-05
270,2.9995598178299425e-05
271,0.00013318567277024226
272,0.00010141076705799355
273,0.00010737161444741417
274,8.870092572718172e-05
275,4.5658840829641186e-05
276,5.92522661234307e-05
277,1.8410031422143118e-05
278,6.900184079931397e-05
279,0.0001694247465698364
280,8.869514262689389e-05
281,0.00011701822113848664
282,5.9815688266950305e-05
283,2.895730390887902e-05
284,7.535046925727658e-05
285,4.983328050678233e-05
286,2.9658188607410546e-05
287,8.426439264861895e-05
288,3.516443929984936e-05
289,0.00015848289764542535
290,3.309264923315041e-05
291,2.8471109080815668e-05
292,0.00019651230632209413
293,4.246530209522674e-05
294,1.230368220190785e-05
295,5.0033248678058526e-05
296,0.00015471209659052504
297,7.04259517270413e-05
298,4.158087475707735e-05
299,0.00018116981108306474
300,5.090817159973221e-05
301,2.4354283252410985e-05
302,2.17303344100541e-05
303,0.0001804211489982862
304,0.00016269313428549304
305,0.0001221692966430332
306,4.391570648279932e-05
307,4.9277806738011446e-05
308,0.00012450771469151904
309,7.199339671210414e-05
310,1.971004654782262e-05
311,4.5048879807519894e-05
312,0.0001809661816641315
313,1.4750046989285534e-05
314,4.299703912677311e-05
315,3.418776295898448e-05
316,0.0001555675567473768
317,0.00012251904526645706
318,0.00019600894462728735
319,1.353457847366816e-05
320,3.97352682899733e-05
321,9.349154774467293e-05
322,1.6762434628000527e-05
323,0.00014670003972954904
324,8.012166016567408e-05
325,5.904954536777393e-05
326,3.337178359558225e-05
327,0.00013698990428824778
328,2.6429500616328076e-05
329,2.7145741847398502e-05
330,4.045853951000484e-05
331,0.00010408337633866397
332,8.951865277695402e-05
333,0.0001264833898071733
334,1.7810535846286024e-05
335,6.72550247318805e-05
336,0.00016109901051836778
337,0.0001761819985434232
338,4.599548314063618e-05
339,6.526002485600034e-05
340,2.2544834842796652e-05
341,3.1288813001012414e-05
342,0.0001932648869975629
343,5.670772591054347e-05
344,9.323930363714394e-05
345,9.923069541536175e-05
346,0.00016622962498189767
347,9.925993257091568e-05
348,4.1080562682618774e-05
349,2.540876357131957e-05
350,6.438302915598162e-05
351,8.281271474403003e-05
352,0.00011454807028154183
353,3.796899369757233e-05
354,5.1690093220954605e-05
355,2.161838983439743e-05
356,6.70042019168267e-05
357,5.591401738694291e-05
358,7.924424724744394e-05
359,0.00011623489616759098
360,4.843546744450512e-05
361,0.00017297549232976145
362,1.6054037761516098e-05
363,0.00010862399640682325
364,2.952367960082281e-05
365,2.0699471855275558e-05
366,5.525327917216843e-05
367,8.25563569994274e-05
368,9.600037598649942e-05
369,4.9993189410359705e-05
370,1.6726576156164897e-05
371,0.00010377645515041968
372,3.826267714175357e-05
373,3.4077302080755625e-05
374,5.178338860960154e-05
375,3.9091129870126164e-05
376,5.458961408429258e-05
377,0.00011705478766883838
378,2.6949559783851874e-05
379,4.273771319296633e-05
380,4.796603453210562e-05
381,8.263995935421627e-05
382,3.770166106653698e-05
383,7.668252774075144e-05
384,4.168439299656806e-05
385,8.390772488677571e-05
386,0.0001679922680490148
387,4.246162688204811e-05
388,2.0984567975473454e-05
389,0.00010425412076824649
390,0.00013486491319617572
391,0.00012917645644125778
392,3.365419126395314e-05
393,5.102425901710632e-05
394,0.00012877510760494774
395,0.00010472537518413316
396,4.6826795993024886e-05
397,4.9285717863313254e-05
398,2.6648310370826766e-05
399,1.7925252841204156e-05
400,0.00012318383899103286
401,4.498405356202854e-05
402,5.047304792239951e-05
403,8.414788687549738e-05
404,6.627726900823808e-05
405,3.472031276827228e-05
406,0.0001631883596204494
407,3.5260557892402005e-05
408,3.6385299159517286e-05
409,0.00018740409698950137
410,0.00011698076733874522
411,2.3948409779829923e-05
412,0.0001567749689453631
413,4.253028818045533e-05
414,0.00014912260064187224
415,0.0001410062094348905
416,4.085228664688082e-05
417,0.00010585044670545402
418,8.821266547317098e-05
419,2.652365375857445e-05
420,2.9161936827221485e-05
421,6.039347314511566e-05
422,2.088139895837165e-05
423,6.864920331490564e-05
424,3.3307878463275895e-05
425,2.316448941775564e-05
426,2.4756663874166498e-05
427,3.741868258854201e-05
428,8.301273594686822e-05
429,0.0001653414273743272
430,3.4693286004514615e-05
431,0.0001196514464400238
432,7.002693336254441e-05
433,4.8171000372760637e-05
434,0.0001387483931131559
435,9.062309955795683e-05
436,2.1755636582593002e-05
437,6.617416210173235e-05
438,8.027434520471737e-05
439,6.286203596445945e-05
440,9.663233813677705e-05
441,3.943452644806139e-05
442,4.190301907043028e-05
443,3.867769151867501e-05
444,0.0001481843980906783
445,3.6858707016867874e-05
446,2.3157004037727874e-05
447,6.622218558090492e-05
448,0.00017247284972845056
449,0.00014936339554087069
450,0.00010125955930931863
451,5.1278882668830536e-05
452,0.00017377374767249364
453,9.559310315239996e-05
454,6.546071442958648e-05
455,0.00010728630418090158
456,6.658053955579005e-05
457,0.00013366524599474347
458,7.117634426409635e-05
459,7.632739370787005e-05
460,0.00018021705779492126
461,2.3593406148520488e-05
462,0.0001315033332676016
463,3.066817294280193e-05
464,2.9734662610638447e-05
465,1.3970387578112582e-05
466,4.092021536773092e-05
467,7.158123251330384e-05
468,3.07755937908382e-05
469,0.00010491433519573992
470,0.00014916931821039588
471,3.407535308038154e-05
472,4.3317925681689035e-05
473,0.0001232474824631717
474,5.6152905967911206e-05
475,3.9061052580380694e-05
476,3.7294190673051355e-05
477,6.362092179796514e-05
478,4.1894771353539455e-05
479,1.2882192296947405e-05
480,1.6920870866678478e-05
481,8.949117610463999e-05
482,2.1379642785886966e-05
483,8.234714104636532e-05
484,3.618047393409153e-05
485,0.0001192663573602243
486,6.942406100441475e-05
487,2.1360460419306012e-05
488,0.00010704714010073541
489,1.7476009353567735e-05
490,0.00012035169322014294
491,3.923178969715295e-05
492,0.00012161733090567719
493,4.102383955619817e-05
494,3.884071322144287e-05
495,5.5985139286217997e-05
496,6.1000727659594965e-05
497,1.510484839685986e-05
498,3.822539999646845e-05
499,7.256983757250287e-05
500,2.704053421667927e-05
501,0.00014407555209078592
502,1.2101409306496299e-05
503,3.7246756709562146e-05
504,0.00010063495112713765
505,1.9149157846181166e-05
506,1.721399720875199e-05
507,0.00010837937057340654
508,0.00012738880958418136
509,0.00011281740261439105
510,0.0001547228149489965
511,0.0001239075585756262
512,0.00014754180013049412
513,3.967087356184717e-05
514,0.00018781877551459386
515,0.00016129707426616946
516,3.445838303498731e-05
517,0.00010232869348639418
518,5.34893093193822e-05
519,4.08091080542434e-05
520,5.2160773560927386e-05
521,0.00020293853029603102
522,9.495085316886392e-05
523,0.00017185954310275722
524,6.133242139328335e-05
525,0.0001171613137113523
526,1.5920962973323034e-05
527,8.840301335619321e-05
528,5.687249543485583e-05
529,7.167728482577267e-05
530,0.00015222570349409704
531,9.429033370652854e-05
532,6.738916162137096e-05
533,5.337854058269643e-05
534,1.5469906052951488e-05
535,9.282509465295227e-05
536,3.726892587471314e-05
537,3.58829486975336e-05
