id,crop
611,3
6417,3
3352,3
4224,1
3102,3
6793,1
5477,3
561,1
5839,1
476,3
2759,1
5882,3
811,0
2656,2
2858,2
3825,2
3955,2
3822,6
5422,4
393,6
538,1
2417,1
1421,3
2486,3
2654,6
496,3
2876,5
2398,3
2114,3
2804,0
1242,4
3761,4
101,4
6201,6
2860,6
5684,2
3014,2
5912,2
3017,3
2069,3
712,5
1536,6
534,2
3779,2
473,6
239,0
2941,0
3279,0
1188,5
1483,5
5364,5
1244,3
1616,3
683,3
6388,1
5950,5
4934,1
3813,5
2094,3
1488,3
5934,3
1297,6
1915,6
4870,6
2833,6
733,0
2249,0
233,0
3527,5
4334,5
2900,4
5239,4
6365,4
3651,3
1971,3
3221,3
5816,2
676,0
4643,4
3100,4
982,4
1817,4
4657,3
3878,3
2268,3
2578,3
469,4
6500,5
4756,5
3353,5
5697,5
5218,0
3824,0
6270,4
5157,0
6254,5
2436,5
3535,5
5594,5
6848,4
1480,0
2299,3
970,3
6557,3
4746,3
812,4
3103,4
2131,3
5141,3
4786,3
6127,3
5360,4
1103,1
2453,0
2642,0
756,6
6507,6
3431,4
3946,1
5154,1
4996,3
6599,3
3770,3
6084,2
4442,4
4724,0
2251,4
3256,3
5166,3
1886,6
2864,2
132,0
5704,0
4050,4
2473,3
2440,3
2405,2
2598,1
429,1
2794,6
1084,6
800,4
2347,2
3328,2
6570,2
1871,6
6865,2
4404,2
4510,2
468,5
4764,1
5773,1
2291,6
6099,6
642,6
6139,6
1433,6
503,6
2389,6
5904,6
3182,4
6730,5
2034,2
3482,2
4025,2
4667,6
543,6
6505,6
5740,0
6280,5
6415,1
3768,6
5936,6
381,1
6646,0
2589,1
4046,4
6378,0
447,4
3035,3
1158,6
6697,1
6869,1
4923,6
2029,1
3887,0
1608,0
50,2
169,2
2132,2
4852,1
217,1
2239,1
1055,3
6512,1
5640,4
5405,1
2260,4
1721,3
6589,3
1650,3
179,3
1047,3
4272,3
6078,3
586,1
2208,3
3805,0
2571,0
4909,1
1539,0
3001,1
6031,3
4099,5
1221,3
5921,2
168,3
4041,2
2886,5
4872,5
230,5
3306,3
5696,3
6689,4
437,4
6591,4
2664,5
2986,5
4559,5
435,5
4591,5
79,4
5828,2
6052,4
2477,4
5292,2
1487,0
3570,0
734,3
457,3
4210,3
5987,1
3473,1
5099,1
5798,6
2415,5
511,5
6122,5
2522,5
3297,1
5706,1
2392,1
1410,1
4078,4
3785,3
6755,1
3098,1
4733,3
1839,3
3418,2
2648,5
2317,5
4765,5
5609,5
5494,6
2579,6
2550,6
4915,2
4815,2
95,3
1934,3
535,3
2850,3
3487,4
4110,5
2829,3
3206,1
3563,2
6246,2
4956,2
2484,5
2154,1
4015,1
6430,1
2899,1
4767,3
3751,4
2463,4
5771,4
2464,4
2629,1
1174,5
4291,5
5966,5
5821,5
4918,6
5185,1
6814,1
2110,5
2173,5
6643,5
4762,0
2215,0
4245,3
6759,0
1057,1
2095,1
6824,1
5413,3
5819,4
1149,3
5357,6
3907,6
61,6
4266,2
2127,2
3169,5
1181,5
2726,5
5708,5
3128,6
3439,6
19,0
5057,0
3220,3
4060,3
5206,3
6608,3
5101,3
2210,5
3277,2
5806,4
1918,1
828,1
3545,0
5617,0
5545,2
3656,2
5368,2
6561,5
247,2
1046,5
4220,2
6683,2
1507,2
1732,6
3901,3
4189,2
5613,0
487,3
1372,0
2388,6
1783,2
3504,6
3519,6
3977,5
3912,2
1632,2
4412,6
852,6
5532,6
2927,0
5803,2
4347,0
3454,4
1375,6
706,6
3402,4
1801,4
3881,4
31,4
3407,1
1744,3
3071,5
1345,3
6785,1
1034,1
6266,0
4209,2
6216,2
4983,2
1617,6
17,6
96,6
1820,6
3012,6
156,0
5735,6
4984,1
3250,1
319,4
1867,4
2609,4
4251,1
932,1
321,4
3921,1
4022,6
4071,5
5164,5
1765,5
4318,5
960,5
6129,5
6876,3
2117,1
80,1
1452,1
3497,6
994,5
5985,5
1407,5
4235,5
6864,4
1720,2
2666,2
6609,2
865,4
1219,4
1042,0
965,6
5367,6
1586,6
1992,6
6513,2
93,2
3078,2
3795,6
1005,1
3951,1
5643,3
763,1
2677,0
3961,5
4287,5
37,3
408,3
6551,3
2465,3
5796,4
5559,0
2406,6
4357,4
1038,4
3759,2
1039,2
3842,2
2118,2
1352,1
1656,3
3947,3
3248,3
6503,3
5123,6
2981,6
4315,1
6156,3
742,1
3320,3
576,3
1374,1
5386,1
3260,1
4877,1
472,2
263,5
2338,5
6897,5
1321,5
1883,0
6871,6
2091,1
5670,1
334,2
4252,2
927,2
2728,2
4747,5
1277,5
23,5
6795,5
2691,5
625,4
5737,0
1197,4
4801,4
3703,4
5940,1
4402,5
1097,1
585,6
1737,1
1499,1
2718,4
4986,4
1002,0
1287,0
6027,0
2337,5
1858,3
592,6
6710,6
4641,1
798,0
1370,0
6538,0
4578,4
177,4
2462,4
4725,6
5873,4
544,5
4301,5
4176,5
1420,5
2542,5
3109,5
1550,5
4701,5
2509,3
1554,5
6651,2
378,3
5466,2
4963,2
199,2
3634,2
1882,0
6071,2
2548,4
4393,2
4813,0
2559,2
5272,5
1144,5
2821,5
3646,5
3599,4
696,4
4560,4
1168,6
5365,4
4920,4
5451,4
996,4
4715,1
2628,1
6772,1
5584,6
3904,1
2669,1
2083,1
547,6
5701,2
1755,3
1223,3
5118,3
5865,5
1078,5
3802,0
1075,3
2184,1
1041,1
5438,4
2042,4
4691,4
1623,0
518,0
6212,0
3357,4
3689,3
3346,3
491,5
5857,3
6789,6
323,1
2926,6
3034,5
1320,5
3388,5
3753,5
2972,2
6892,2
324,2
6576,2
5992,2
1263,5
3559,5
5937,5
1595,4
6588,4
1281,1
2446,4
3956,5
4086,1
88,1
6069,0
957,1
1362,5
6659,2
4217,1
3187,1
1451,5
198,5
2942,5
3209,5
5335,4
73,5
1694,4
2275,1
1108,1
1559,6
6237,2
2758,2
2432,2
3096,4
1747,4
3518,4
2836,2
2264,2
4359,2
5244,4
3049,4
6221,4
6291,4
5548,5
6753,5
921,5
6682,3
4550,6
6678,0
4698,5
1335,5
5814,5
2018,5
4645,5
6222,5
2689,5
3973,6
208,0
1535,0
4690,6
833,6
620,6
6502,6
6043,6
6490,6
3063,5
4087,6
1919,4
3164,4
6357,2
5461,2
4513,2
1199,2
2883,4
2348,4
5230,1
6529,4
1443,1
2254,4
6032,6
4738,6
5598,0
4319,0
1643,0
5151,5
401,5
4959,5
6655,4
41,1
4906,4
1862,1
4860,1
2789,5
2617,5
5802,1
5314,5
3846,4
3116,6
2080,4
2197,4
1056,2
4628,3
6377,0
