id,crop
611,3
6417,3
3352,3
4224,1
3102,3
6793,1
5477,3
561,1
5839,1
476,1
2759,3
5882,0
811,4
2656,6
2858,2
3825,2
3955,2
3822,6
5422,1
393,6
538,1
2417,1
1421,3
2486,3
2654,3
496,3
2876,0
2398,3
2114,1
2804,4
1242,4
3761,0
101,4
6201,4
2860,2
5684,2
3014,2
5912,2
3017,3
2069,3
712,5
1536,5
534,4
3779,6
473,6
239,0
2941,3
3279,4
1188,5
1483,5
5364,6
1244,3
1616,3
683,1
6388,1
5950,1
4934,1
3813,5
2094,3
1488,3
5934,3
1297,6
1915,6
4870,6
2833,0
733,0
2249,0
233,0
3527,5
4334,5
2900,4
5239,4
6365,4
3651,3
1971,3
3221,3
5816,6
676,0
4643,0
3100,4
982,4
1817,4
4657,6
3878,3
2268,3
2578,5
469,4
6500,5
4756,6
3353,5
5697,5
5218,4
3824,4
6270,4
5157,0
6254,5
2436,5
3535,5
5594,2
6848,5
1480,0
2299,3
970,3
6557,3
4746,3
812,4
3103,4
2131,4
5141,3
4786,3
6127,3
5360,4
1103,1
2453,0
2642,0
756,0
6507,6
3431,3
3946,1
5154,3
4996,3
6599,3
3770,3
6084,5
4442,4
4724,6
2251,4
3256,6
5166,6
1886,6
2864,0
132,0
5704,0
4050,4
2473,3
2440,4
2405,2
2598,1
429,1
2794,6
1084,6
800,4
2347,2
3328,2
6570,2
1871,6
6865,2
4404,3
4510,2
468,5
4764,1
5773,1
2291,5
6099,1
642,6
6139,6
1433,6
503,6
2389,6
5904,6
3182,2
6730,5
2034,2
3482,4
4025,2
4667,4
543,2
6505,6
5740,0
6280,4
6415,1
3768,1
5936,6
381,1
6646,0
2589,1
4046,0
6378,4
447,2
3035,6
1158,6
6697,1
6869,1
4923,6
2029,1
3887,0
1608,0
50,4
169,2
2132,2
4852,1
217,1
2239,3
1055,3
6512,4
5640,4
5405,4
2260,4
1721,3
6589,3
1650,3
179,3
1047,3
4272,3
6078,2
586,1
2208,3
3805,0
2571,0
4909,1
1539,3
3001,1
6031,3
4099,5
1221,3
5921,2
168,3
4041,3
2886,2
4872,5
230,5
3306,6
5696,4
6689,4
437,4
6591,1
2664,0
2986,5
4559,5
435,5
4591,5
79,4
5828,4
6052,0
2477,0
5292,2
1487,0
3570,3
734,3
457,3
4210,3
5987,1
3473,1
5099,1
5798,3
2415,5
511,5
6122,5
2522,5
3297,1
5706,1
2392,1
1410,1
4078,3
3785,4
6755,1
3098,1
4733,3
1839,6
3418,2
2648,3
2317,2
4765,1
5609,1
5494,6
2579,6
2550,6
4915,2
4815,2
95,2
1934,3
535,3
2850,5
3487,4
4110,4
2829,3
3206,1
3563,2
6246,2
4956,5
2484,5
2154,1
4015,1
6430,1
2899,1
4767,3
3751,4
2463,4
5771,4
2464,4
2629,1
1174,5
4291,5
5966,5
5821,6
4918,6
5185,1
6814,1
2110,5
2173,5
6643,5
4762,4
2215,0
4245,3
6759,0
1057,1
2095,1
6824,3
5413,3
5819,3
1149,4
5357,6
3907,6
61,6
4266,5
2127,0
3169,2
1181,5
2726,5
5708,5
3128,6
3439,6
19,0
5057,0
3220,3
4060,0
5206,3
6608,3
5101,3
2210,5
3277,2
5806,1
1918,1
828,1
3545,0
5617,2
5545,0
3656,2
5368,2
6561,5
247,2
1046,5
4220,2
6683,2
1507,2
1732,2
3901,2
4189,2
5613,2
487,3
1372,0
2388,6
1783,2
3504,2
3519,6
3977,5
3912,2
1632,5
4412,6
852,2
5532,6
2927,3
5803,0
4347,4
3454,4
1375,6
706,6
3402,4
1801,4
3881,4
31,4
3407,1
1744,3
3071,1
1345,1
6785,1
1034,1
6266,2
4209,2
6216,2
4983,5
1617,6
17,2
96,6
1820,6
3012,6
156,0
5735,6
4984,2
3250,1
319,1
1867,2
2609,4
4251,1
932,1
321,6
3921,1
4022,6
4071,5
5164,5
1765,5
4318,5
960,5
6129,5
6876,3
2117,1
80,1
1452,1
3497,6
994,5
5985,5
1407,4
4235,5
6864,4
1720,6
2666,2
6609,4
865,4
1219,4
1042,4
965,6
5367,6
1586,0
1992,2
6513,2
93,2
3078,2
3795,6
1005,1
3951,3
5643,3
763,1
2677,3
3961,5
4287,1
37,3
408,1
6551,3
2465,5
5796,4
5559,0
2406,6
4357,4
1038,4
3759,4
1039,1
3842,2
2118,3
1352,1
1656,3
3947,3
3248,3
6503,3
5123,6
2981,6
4315,1
6156,6
742,5
3320,3
576,1
1374,1
5386,1
3260,1
4877,1
472,2
263,5
2338,5
6897,5
1321,1
1883,0
6871,3
2091,1
5670,6
334,1
4252,4
927,2
2728,4
4747,5
1277,5
23,5
6795,5
2691,5
625,0
5737,0
1197,4
4801,2
3703,4
5940,3
4402,3
1097,1
585,6
1737,6
1499,1
2718,4
4986,4
1002,0
1287,0
6027,3
2337,5
1858,3
592,6
6710,6
4641,1
798,0
1370,0
6538,4
4578,4
177,4
2462,4
4725,2
5873,2
544,5
4301,5
4176,5
1420,5
2542,5
3109,5
1550,5
4701,5
2509,3
1554,6
6651,2
378,5
5466,5
4963,3
199,1
3634,2
1882,2
6071,2
2548,2
4393,2
4813,0
2559,2
5272,5
1144,1
2821,5
3646,5
3599,4
696,4
4560,6
1168,6
5365,4
4920,4
5451,4
996,4
4715,1
2628,1
6772,1
5584,6
3904,1
2669,1
2083,2
547,2
5701,2
1755,5
1223,3
5118,1
5865,5
1078,2
3802,2
1075,2
2184,1
1041,1
5438,2
2042,4
4691,4
1623,0
518,0
6212,0
3357,0
3689,6
3346,3
491,5
5857,6
6789,6
323,1
2926,6
3034,5
1320,5
3388,5
3753,5
2972,6
6892,2
324,6
6576,2
5992,2
1263,5
3559,5
5937,5
1595,4
6588,4
1281,1
2446,6
3956,1
4086,0
88,0
6069,0
957,1
1362,5
6659,2
4217,1
3187,5
1451,5
198,5
2942,5
3209,5
5335,4
73,1
1694,1
2275,1
1108,1
1559,3
6237,2
2758,2
2432,2
3096,5
1747,4
3518,2
2836,2
2264,2
4359,2
5244,4
3049,0
6221,4
6291,4
5548,5
6753,5
921,5
6682,0
4550,6
6678,0
4698,6
1335,5
5814,5
2018,5
4645,5
6222,5
2689,6
3973,6
208,0
1535,0
4690,6
833,6
620,6
6502,6
6043,6
6490,6
3063,5
4087,1
1919,3
3164,4
6357,4
5461,0
4513,2
1199,2
2883,4
2348,4
5230,1
6529,4
1443,1
2254,1
6032,6
4738,0
5598,0
4319,0
1643,0
5151,5
401,5
4959,5
6655,4
41,1
4906,1
1862,1
4860,1
2789,5
2617,5
5802,1
5314,5
3846,4
3116,6
2080,3
2197,4
1056,3
4628,3
6377,5
