id,crop
611,3
6417,3
3352,3
4224,1
3102,3
6793,1
5477,3
561,1
5839,1
476,1
2759,1
5882,3
811,0
2656,6
2858,2
3825,2
3955,6
3822,6
5422,6
393,4
538,1
2417,1
1421,3
2486,5
2654,3
496,3
2876,5
2398,3
2114,1
2804,4
1242,4
3761,0
101,4
6201,4
2860,6
5684,4
3014,2
5912,3
3017,3
2069,3
712,6
1536,6
534,4
3779,2
473,2
239,0
2941,4
3279,0
1188,0
1483,5
5364,5
1244,3
1616,3
683,1
6388,1
5950,1
4934,1
3813,5
2094,5
1488,3
5934,3
1297,6
1915,6
4870,6
2833,6
733,6
2249,0
233,0
3527,5
4334,4
2900,4
5239,4
6365,4
3651,4
1971,3
3221,3
5816,2
676,0
4643,4
3100,4
982,4
1817,4
4657,6
3878,3
2268,3
2578,3
469,3
6500,1
4756,4
3353,6
5697,5
5218,0
3824,4
6270,4
5157,0
6254,5
2436,5
3535,5
5594,4
6848,5
1480,3
2299,3
970,3
6557,3
4746,3
812,6
3103,5
2131,3
5141,3
4786,3
6127,3
5360,4
1103,1
2453,0
2642,0
756,4
6507,0
3431,1
3946,1
5154,3
4996,3
6599,3
3770,3
6084,5
4442,4
4724,6
2251,3
3256,3
5166,3
1886,0
2864,6
132,0
5704,0
4050,2
2473,4
2440,4
2405,2
2598,3
429,1
2794,6
1084,6
800,4
2347,2
3328,2
6570,4
1871,6
6865,3
4404,2
4510,2
468,5
4764,1
5773,1
2291,5
6099,6
642,6
6139,6
1433,6
503,6
2389,6
5904,6
3182,4
6730,2
2034,2
3482,2
4025,6
4667,5
543,2
6505,6
5740,0
6280,5
6415,1
3768,6
5936,6
381,1
6646,0
2589,1
4046,4
6378,4
447,2
3035,6
1158,6
6697,1
6869,1
4923,6
2029,1
3887,0
1608,0
50,4
169,2
2132,2
4852,2
217,1
2239,3
1055,3
6512,4
5640,6
5405,4
2260,4
1721,3
6589,3
1650,3
179,3
1047,3
4272,3
6078,3
586,3
2208,3
3805,0
2571,1
4909,1
1539,3
3001,1
6031,3
4099,5
1221,3
5921,2
168,2
4041,3
2886,2
4872,5
230,5
3306,6
5696,3
6689,4
437,4
6591,4
2664,4
2986,5
4559,5
435,5
4591,0
79,4
5828,4
6052,4
2477,4
5292,2
1487,2
3570,3
734,3
457,3
4210,3
5987,1
3473,1
5099,1
5798,3
2415,5
511,5
6122,5
2522,5
3297,1
5706,1
2392,1
1410,1
4078,3
3785,3
6755,1
3098,1
4733,6
1839,3
3418,5
2648,3
2317,2
4765,5
5609,1
5494,6
2579,6
2550,6
4915,2
4815,0
95,3
1934,3
535,3
2850,5
3487,4
4110,4
2829,4
3206,1
3563,2
6246,2
4956,2
2484,5
2154,1
4015,1
6430,1
2899,1
4767,6
3751,4
2463,4
5771,4
2464,2
2629,1
1174,5
4291,1
5966,5
5821,5
4918,6
5185,1
6814,1
2110,5
2173,5
6643,5
4762,4
2215,0
4245,3
6759,0
1057,1
2095,6
6824,3
5413,4
5819,4
1149,4
5357,4
3907,4
61,5
4266,2
2127,2
3169,2
1181,2
2726,5
5708,5
3128,6
3439,6
19,6
5057,0
3220,3
4060,3
5206,3
6608,5
5101,3
2210,5
3277,0
5806,4
1918,1
828,1
3545,0
5617,0
5545,2
3656,2
5368,2
6561,2
247,2
1046,5
4220,2
6683,2
1507,3
1732,2
3901,3
4189,2
5613,0
487,0
1372,0
2388,6
1783,6
3504,2
3519,2
3977,5
3912,5
1632,5
4412,6
852,3
5532,3
2927,3
5803,3
4347,4
3454,6
1375,6
706,6
3402,4
1801,4
3881,4
31,4
3407,1
1744,3
3071,3
1345,1
6785,1
1034,0
6266,1
4209,2
6216,2
4983,2
1617,6
17,3
96,6
1820,6
3012,6
156,1
5735,6
4984,1
3250,1
319,4
1867,4
2609,4
4251,4
932,1
321,1
3921,1
4022,5
4071,5
5164,5
1765,5
4318,5
960,5
6129,5
6876,3
2117,1
80,1
1452,1
3497,1
994,5
5985,5
1407,4
4235,5
6864,4
1720,2
2666,2
6609,2
865,3
1219,4
1042,4
965,6
5367,4
1586,6
1992,2
6513,2
93,2
3078,2
3795,6
1005,1
3951,1
5643,1
763,0
2677,0
3961,5
4287,1
37,3
408,3
6551,3
2465,5
5796,3
5559,4
2406,6
4357,4
1038,4
3759,4
1039,1
3842,2
2118,1
1352,1
1656,3
3947,4
3248,1
6503,3
5123,6
2981,3
4315,1
6156,6
742,1
3320,5
576,1
1374,1
5386,1
3260,1
4877,1
472,2
263,5
2338,0
6897,5
1321,1
1883,0
6871,1
2091,1
5670,1
334,1
4252,4
927,2
2728,5
4747,5
1277,5
23,5
6795,5
2691,5
625,0
5737,4
1197,4
4801,4
3703,4
5940,1
4402,5
1097,1
585,3
1737,6
1499,4
2718,4
4986,0
1002,0
1287,0
6027,0
2337,0
1858,3
592,6
6710,3
4641,1
798,0
1370,0
6538,4
4578,4
177,4
2462,4
4725,2
5873,2
544,5
4301,5
4176,5
1420,5
2542,5
3109,5
1550,2
4701,5
2509,3
1554,5
6651,2
378,2
5466,2
4963,5
199,1
3634,2
1882,0
6071,2
2548,2
4393,2
4813,2
2559,2
5272,5
1144,1
2821,5
3646,5
3599,4
696,4
4560,4
1168,6
5365,4
4920,2
5451,4
996,4
4715,4
2628,1
6772,1
5584,1
3904,1
2669,1
2083,5
547,2
5701,2
1755,5
1223,1
5118,1
5865,5
1078,2
3802,0
1075,3
2184,1
1041,1
5438,2
2042,4
4691,0
1623,4
518,0
6212,0
3357,0
3689,6
3346,3
491,6
5857,3
6789,6
323,1
2926,6
3034,5
1320,5
3388,2
3753,6
2972,2
6892,2
324,2
6576,2
5992,2
1263,5
3559,5
5937,5
1595,4
6588,4
1281,1
2446,1
3956,0
4086,0
88,0
6069,0
957,1
1362,5
6659,4
4217,1
3187,5
1451,5
198,5
2942,5
3209,5
5335,5
73,1
1694,3
2275,1
1108,3
1559,2
6237,6
2758,2
2432,2
3096,0
1747,4
3518,1
2836,2
2264,2
4359,2
5244,2
3049,4
6221,0
6291,4
5548,5
6753,5
921,5
6682,3
4550,6
6678,2
4698,0
1335,0
5814,5
2018,5
4645,5
6222,5
2689,6
3973,6
208,0
1535,0
4690,6
833,6
620,6
6502,6
6043,6
6490,6
3063,3
4087,1
1919,4
3164,4
6357,6
5461,6
4513,2
1199,2
2883,4
2348,2
5230,2
6529,2
1443,1
2254,1
6032,6
4738,6
5598,0
4319,0
1643,5
5151,5
401,5
4959,5
6655,5
41,1
4906,4
1862,5
4860,1
2789,5
2617,5
5802,1
5314,5
3846,4
3116,6
2080,4
2197,4
1056,3
4628,3
6377,5
