id,crop
3961,2
811,2
2471,3
3950,5
414,4
2664,1
6855,5
5219,0
2287,0
5108,0
764,1
4899,6
6737,5
257,0
1971,1
4679,2
6100,1
3941,2
2622,2
6825,1
473,0
970,0
2886,0
1662,2
5489,3
4643,2
3707,1
1754,3
6419,5
5922,2
889,0
931,1
2053,0
2860,4
2199,0
1511,0
293,1
1371,0
1022,0
4169,4
6564,6
1595,1
5454,6
4999,2
4332,5
322,0
6659,4
6898,3
3815,0
1009,0
3703,1
2018,6
3268,3
1423,2
1210,2
4672,6
511,5
505,1
4884,3
5593,1
5221,6
1615,1
3434,6
5670,1
1181,2
367,0
6777,3
2650,0
1109,4
6666,1
324,4
3491,4
1215,1
2119,5
5648,2
4838,1
5445,3
3377,6
438,2
2310,5
3182,5
879,2
3150,5
6832,3
6415,4
6758,0
4019,3
535,5
2718,0
2132,4
1918,6
373,6
286,6
3411,0
2522,1
6339,1
2523,2
432,0
5038,5
5621,1
247,0
2166,0
6982,5
4830,2
2892,0
1446,6
1871,4
5244,2
6690,3
6311,3
6579,0
733,5
1018,0
2517,6
1544,0
3689,1
3437,0
4562,2
6380,0
4236,3
533,2
5940,4
2835,3
4398,1
1119,6
6169,3
2127,5
4394,2
3450,3
5741,3
2569,2
142,2
1934,4
6512,5
3163,3
2153,0
5884,1
6068,1
5010,0
315,5
1702,1
4697,1
2002,0
6783,0
151,0
6406,5
4558,0
333,5
4633,4
982,2
4381,5
3745,0
4046,1
5774,5
4624,0
4151,0
4983,0
6791,1
5694,2
3308,3
3101,0
6748,1
6960,0
1756,5
3481,6
915,1
84,2
742,5
3973,0
4756,4
1773,4
6588,1
3209,6
6475,0
3686,0
2398,0
2024,4
5941,3
1758,5
2069,0
4655,6
2996,5
1244,0
1002,4
2184,0
1223,4
2276,1
5347,6
2948,2
2812,3
3761,2
893,2
3000,5
3035,6
1317,3
3438,6
3269,5
1419,3
3197,5
231,0
927,0
2836,6
3260,0
5867,2
5669,0
4882,1
221,0
1926,0
1175,5
2770,2
2859,6
5493,1
4250,0
1720,0
5363,0
4247,6
4173,2
3559,0
5231,0
6048,6
833,2
3328,4
1862,0
3624,6
3469,1
2118,1
6952,5
1755,1
3185,5
5514,6
3039,1
2183,5
6055,3
380,5
2098,5
1046,0
4269,0
5327,3
5945,6
4099,5
5617,3
73,2
3098,0
1883,5
4789,6
1569,4
5441,1
5087,1
2540,3
6845,0
4078,2
5103,1
4622,3
6354,3
2182,1
2927,2
6426,1
106,2
6887,5
530,6
6364,2
5872,4
5589,1
3142,3
4510,0
181,1
2992,1
3045,5
6369,6
5716,0
5414,0
4988,0
3799,2
3592,2
1219,2
907,2
4641,3
387,0
5985,1
1362,1
2574,0
1919,0
1260,2
3024,3
6435,6
5050,3
810,3
176,2
1041,0
376,0
279,3
3879,4
5291,5
4878,3
6208,0
6308,0
3479,0
1582,2
3733,3
2794,5
4553,3
251,0
6821,0
3827,0
1020,0
5641,5
4693,3
763,0
4523,4
1961,6
3433,4
3172,4
4991,0
3656,1
6338,3
5113,3
5076,0
1632,0
5594,6
3276,4
4696,0
622,6
5776,0
3862,1
5994,6
3256,5
6064,1
5556,1
80,0
1789,6
2862,4
6217,0
434,5
1339,0
1235,0
121,1
1840,3
2406,1
4128,3
3935,6
2715,3
6533,3
5178,3
3133,4
1411,4
6079,2
1880,4
2189,3
2676,2
95,3
5837,6
4919,0
5888,3
1295,6
5459,1
2576,5
1514,2
90,2
1876,6
2413,3
2654,5
6240,3
3193,0
5444,0
5698,1
1128,2
881,0
1536,3
6556,5
6127,5
6233,1
1940,2
585,0
5285,6
2473,2
132,3
6465,4
336,1
1869,5
1374,1
3181,1
1795,4
5037,2
349,2
3366,0
6807,6
624,1
4769,4
5377,1
447,4
2354,5
416,1
3809,6
2441,0
3704,0
4168,6
5120,4
2592,2
3064,0
746,4
3621,5
4463,2
5470,2
3011,4
5058,2
3346,3
1385,2
3907,1
4950,3
6506,4
4384,5
2864,6
1153,0
1467,3
6636,1
5025,0
6091,0
4725,1
6098,2
6504,6
2210,3
577,2
4940,4
3529,3
1183,0
3893,2
91,1
2181,0
2699,5
3578,3
4365,4
75,5
6536,2
4609,4
1092,4
4755,0
1650,1
3127,2
6041,2
4927,2
2594,1
5796,2
4084,6
4706,4
5966,4
50,5
6027,0
6836,5
2893,2
4147,0
4347,0
5437,4
2114,3
555,1
5220,0
1732,0
4545,0
565,0
2223,1
6513,5
3151,3
3692,5
381,1
1305,2
3355,0
5850,2
5531,6
1978,2
4352,3
1079,0
696,0
497,2
4666,3
2755,1
773,0
471,3
1103,0
1393,6
1192,1
1212,3
102,1
2249,1
6744,4
5396,2
2596,2
6595,2
1979,5
4953,0
1352,2
3049,3
3357,1
4102,1
4707,2
4610,0
19,6
2827,2
1426,2
1176,6
5661,2
2477,0
809,3
3527,6
4726,2
5385,2
5096,0
6216,1
1578,3
1509,6
2764,6
812,0
1694,6
5899,2
4856,5
1760,1
2112,3
1902,2
4270,4
4343,2
3235,0
6891,0
4368,0
6604,4
2387,5
6637,0
1400,5
4698,0
351,2
5070,3
5995,0
2020,1
5643,4
3418,1
2004,2
6963,0
576,2
4253,0
3399,3
6643,2
4304,5
6581,4
3381,5
5653,6
5340,0
4568,1
799,0
598,4
6550,2
5426,5
5148,4
185,0
3731,1
3955,1
5658,4
2323,2
1916,1
2498,6
5820,2
6201,1
5712,3
6764,5
6582,5
3842,6
239,5
1095,0
1032,0
5836,2
6838,0
3095,3
5990,0
354,1
3795,0
5187,3
4536,1
4229,0
217,1
798,4
5015,6
672,3
5533,3
3296,5
487,6
2418,6
1623,1
3806,3
1562,2
1420,0
3887,2
2306,1
252,1
1501,2
6156,2
4467,2
4526,5
6848,2
2833,0
5964,1
2716,0
3816,6
6232,2
5762,0
6115,3
3091,0
1129,3
179,3
4094,5
1921,0
3615,0
44,1
4222,1
1302,5
2609,3
783,3
547,5
752,0
6498,3
4454,5
2263,3
693,5
743,3
6734,3
4224,2
543,0
6285,3
5987,1
371,6
1726,5
4428,2
3901,1
263,4
2578,3
4267,6
4194,2
952,3
1224,2
3129,5
1039,4
1277,1
4038,6
1199,0
4461,5
2439,1
2392,1
1345,4
4518,4
6455,0
6562,6
6787,4
3550,6
2304,0
3254,2
1195,4
5081,0
5028,5
1882,3
2229,4
45,6
4742,5
6989,6
37,1
4997,1
4100,4
3480,4
625,2
5318,4
1061,5
996,5
1922,2
4482,2
4937,5
5223,2
4998,2
6996,5
2228,6
1281,6
1559,0
71,0
2191,0
3277,2
1886,5
5321,0
6013,0
5364,0
4001,4
2954,0
4932,6
4313,3
1038,0
1225,2
5159,1
96,0
2855,1
1414,1
2389,1
2252,4
5706,0
4366,4
6759,0
2094,0
1297,3
3102,0
2317,0
1005,3
1835,1
1044,4
5484,2
6154,5
3289,3
2615,6
730,2
1480,6
259,3
4154,5
2154,5
842,0
6834,1
476,1
5819,1
5412,1
1669,5
676,5
1699,5
5094,6
2316,1
5519,0
5835,4
2115,0
2149,0
268,0
1084,0
1024,3
5815,4
6882,1
6713,2
6463,0
5190,0
435,4
3238,4
1580,5
410,0
6276,0
5555,6
3184,1
